Intervention,Trial ID,Additional ID(s),Trial Title,Trial Registry,Status,Trial phase,Study Design,Locations,Eligible Age,Enrollment Number,Primary Completion Date,Registration Date,Results?,PCD Grade,PCD without blanks
Oxygen,NCT04336462,,"A Multi-center, Randomized, Parallel-Controlled Clinical Trial of the Application of A Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19",Clinicaltrials.gov,Recruiting,Not Applicable,Randomized Parallel Assignment Quadruple,China,"Adult, Elderly",100,21/02/2020,07-Apr-20,No,5,21/02/2020
Hydroxychloroquine,NCT04261517,,Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19,Clinicaltrials.gov,Completed,Phase 3,Randomized Parallel Assignment None (Open Label),China,"Adult, Elderly",30,25/02/2020,07-Feb-20,Yes,4,25/02/2020
Mesenchymal stem cells (MSC),NCT04293692,,Human Umbilical Cord Mesenchymal Stem Cells Treatment for Pneumonia Patients Infected by 2019 Novel Coronavirus,Clinicaltrials.gov,Trial Withdrawn,Not Applicable,Randomized Parallel Assignment Triple,China,"Adult, Elderly",0,25/02/2020,03-Mar-20,No,3,25/02/2020
Sildenafil,NCT04304313,,A Pilot Study of Sildenafi in the Treatment of COVID-19,Clinicaltrials.gov,Recruiting,Phase 3,N/A Single Group Assignment None (Open Label),China,"Adult, Elderly",10,01/03/2020,11-Mar-20,No,5,01/03/2020
Traditional Chinese Medicine,NCT04323332,,A Retrospective Cohort Study to Evaluate the Efficacy and Safety of Traditional Chinese Medicine as an Adjuvant Treatment for Patients With Severe COVID-19,Clinicaltrials.gov,Not yet recruiting,Phase 3,Non-Randomized Parallel Assignment None (Open Label),China,"Child, Adult, Elderly",50,01/03/2020,26-Mar-20,No,5,01/03/2020
Ritonavir,NCT04291729,ChiCTR2000030000,An Open Clinical Trial to Evaluate Ganovo?Danoprevir ? Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,"Clinicaltrials.gov, Chinese CTR",Completed,Phase 4,N/A Single Group Assignment None (Open Label),China,"Adult, Elderly",11,19/03/2020,02-Mar-20,No,5,19/03/2020
Danoprevir (Ganova),NCT04291729,ChiCTR2000030000,An Open Clinical Trial to Evaluate Ganovo?Danoprevir ? Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,"Clinicaltrials.gov, Chinese CTR",Completed,Phase 4,N/A Single Group Assignment None (Open Label),China,"Adult, Elderly",11,19/03/2020,02-Mar-20,Yes,5,19/03/2020
Novaferon,NCT04291729,ChiCTR2000030000,An Open Clinical Trial to Evaluate Ganovo?Danoprevir ? Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,"Clinicaltrials.gov, Chinese CTR",Completed,Phase 4,N/A Single Group Assignment None (Open Label),China,"Adult, Elderly",11,19/03/2020,02-Mar-20,No,5,19/03/2020
Oxygen,NCT04378712,,"Effects of Hydrogen/Oxygen Mixed Gas Inhalation for Patients With Coronavirus Disease 2019 (COVID-19) Who Had Dyspnea: A Multicenter, Open-label Clinical Trial",Clinicaltrials.gov,Completed,Not Applicable,Non-Randomized Parallel Assignment None (Open Label),China,"Adult, Elderly",90,23/03/2020,07-May-20,No,5,23/03/2020
Methylprednisolone,NCT04374071,,Early Short Course Corticosteroids in COVID-19,Clinicaltrials.gov,Completed,Not Applicable,Observational Model: Cohort|Time Perspective: Retrospective,United States,"Adult, Elderly",250,27/03/2020,05-May-20,No,3,27/03/2020
